Round,Total Quantity,Price,Firm 1 Quantity,Firm 2 Quantity,Firm 3 Quantity,Firm 4 Quantity,Firm 5 Quantity,Firm 1 Profit,Firm 2 Profit,Firm 3 Profit,Firm 4 Profit,Firm 5 Profit
1.0,40.79879818639639,18.650455390702962,2.262200852762877,24.96518463418804,16.068698572682003,102.74533763673227,294.50932472653545,11607.638521665836,5306.228469051272,643.6172370153589,7102.827821946118,4571.694580148001
2.0,4.622694551869754,4.204050520544698,20.343798943531862,29.097317391831936,12.192424011315428,70.46028541909368,359.07942916181264,1613.6875753561153,1467.5475558791643,7101.60172219079,10157.274945280777,4256.124413968768
3.0,11.209285494501362,6.958732666817265,35.24600482442616,27.989510924305513,29.63568518333077,111.03921909338106,277.9215618132379,3003.209276497277,1864.3945243344795,9443.164660237173,7498.9934812286165,7940.039059723414
4.0,34.665660002610316,36.02604348137447,29.957710797176112,49.15763726822173,35.42436039443614,185.23141194381876,129.5371761123625,4143.83510478331,4306.451504264689,3581.060151485264,5876.165143399055,4234.528007137511
5.0,42.87130379202883,24.765195573140602,27.293442015469413,12.864393218357295,7.988743998215587,115.78307859721173,268.43384280557655,11079.395785059298,6400.164659798379,7053.549103448941,3324.5945747820742,2064.5618106488405
6.0,39.09050335874661,24.72992666973406,25.097561179744744,48.219819773796736,13.989810858841592,151.12762184086375,197.7447563182725,7339.037027446494,4642.914056377969,4711.935507874113,9053.018313142486,2626.513630631937
7.0,32.574477720907616,10.65520829538422,40.53810624864901,2.849398869946662,23.886270222540176,110.5034613574277,278.99307728514464,8762.309003103324,2866.177268489602,10904.469947136247,766.4685704397663,6425.241332025599
8.0,7.156389299784655,6.578997033193516,12.606539061388009,6.802849507847631,38.65252669846821,71.79730160068202,356.40539679863593,2479.011875037416,2279.000077820448,4366.973165817616,2356.543783127364,13389.44384825275
9.0,44.4614785799838,19.551391149292805,16.226609618704114,9.88131950924881,2.843743251098879,92.96454210832842,314.07091578334314,13519.442508897167,5945.009411603813,4934.040046818164,3004.6218723251004,864.6996146143376
10.0,4.057454209763682,16.38338366256326,31.67891932421941,13.110200145470198,2.3566984486975597,67.58665579071412,364.82668841857173,1439.6930406604401,5813.261770078253,11240.526036491872,4651.8489021218675,836.2195061525404
11.0,46.82147994454275,45.684055786450195,37.57283876163132,49.406493599998804,12.463502287465966,191.94837038008905,116.10325923982191,4967.911624547943,4847.227214236212,3986.6006515013964,5242.189998571275,1322.4182142431148
12.0,17.041642891437814,8.781941043118788,44.3002367566736,26.754402479015244,5.17899790252353,102.05722107276898,295.88555785446204,4871.959584775227,2510.630114157011,12664.797898266375,7648.697277776075,1480.6007044900284
13.0,35.87071050678776,15.522177482270383,48.862003725534194,17.52168425111328,9.354004816726558,127.13058078243218,245.73883843513565,8456.119628713162,3659.1800896544382,11518.672001870702,4130.541492784654,2205.1022302117826
14.0,1.2631974812532851,7.503632443618793,40.951465186648086,13.736728958629016,2.9995090578784245,66.4545331280276,367.0909337439448,451.0763680837348,2679.479115763193,14623.396941682813,4905.261370424321,1071.0974902512266
15.0,35.92000895450545,23.162234304616653,19.393652789306387,37.16274202919919,5.753595105372037,121.39223318299973,257.2155336340005,8879.984181826141,5726.064113771558,4794.412223420901,9187.207102051176,1422.3780842885217
16.0,37.80643569602547,46.74597519391677,48.65536184070395,5.18346847421744,15.459717488419459,153.8509586932831,192.2980826134338,6892.040737833523,8521.701647746166,8869.779172423163,944.9363641370204,2818.276855884238
17.0,25.753004514328804,5.242237646733823,37.50790406049417,20.822671184203887,12.712005162735178,102.03782256849586,295.92435486300826,7363.411201543603,1498.883417180943,10724.423270760404,5953.708824868049,3634.671875170286
18.0,37.581852607225926,18.096637616625223,35.076437904818114,4.515402350503439,32.26613628044698,127.53646675961969,244.92706648076063,8828.994385927914,4251.389988439148,8240.404659573476,1060.7902281841043,7580.18874303385
19.0,40.34914087955512,14.141849178476777,3.3256607967103635,8.871927030554897,49.08499301389222,115.7735708991894,268.4528582016212,10428.350786300898,3655.001340433572,859.5265383188743,2292.974898803135,12686.156739247055
20.0,25.323436878400596,42.319326633359516,45.44107068791442,6.047892568886179,45.628249736419804,164.7599765049805,170.480046990039,4063.906340195014,6791.407526708344,7292.385159274189,970.5660836455617,7322.423661773884
21.0,29.06612203464121,13.920363739675908,36.345961712636694,11.930143559680822,33.26514968577128,124.52774073240592,250.94451853518817,7003.32277932165,3354.035339090903,8757.360245549631,2874.502696042972,8015.055475039127
22.0,48.58918000759932,48.36654559960639,6.368754556531399,45.42986521658864,41.83172150561943,190.58606688594517,118.82786622810966,5287.856782000558,5263.62795442973,693.097968917863,4944.03529455196,4552.456992105089
23.0,35.69677991838951,8.550958455441474,25.92713570988545,29.451621192212844,24.3313107524358,123.95780602836507,252.08438794326986,8641.633118088932,2070.0535440138774,6276.554779449715,7129.777690253882,5890.230471360922
24.0,44.614828891594314,5.545867764288713,24.54256243062419,7.044810289800708,8.599695149365875,90.3477645256738,319.3044709486524,13799.566046779231,1715.361694784506,7591.124288328489,2178.9913196204307,2659.9241584943043
25.0,45.907593636225684,48.24425728774035,11.446380442738262,47.52502777071381,48.65939081059536,201.78264994801347,96.43470010397306,3968.0090884422293,4169.977910404754,989.364460844064,4107.81152279464,4205.859851955833
26.0,42.14379089973499,11.161507182524133,44.32415737013495,3.9135368305922045,28.679462555432792,130.22245483841908,239.55509032316183,9674.321726549111,2562.180789426947,10174.835948599368,898.372300629614,6583.516617332112
